Compartiment;Lopende kosten;Name;Rating;Risico;url
Invesco Sustainable Pan European Structured Equity Fund;1.81%;Invesco Funds Invesco Sustainable Pan European Structured Equity Fund A-Acc;;4;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79703196
Climate Transition;2.26%;Carmignac Portfolio Climate Transition A;;5;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0164455502
Equities;1.99%;Aphilion Q² Equities A;;4;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0058285850
Europe Strategic Growth Fund;2.09%;JPMorgan Funds Europe Strategic Growth Fund A (dist) - EUR;;4;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0107398538
Asia Pacific Equity Fund;2.14%;JPMorgan Funds Asia Pacific Equity Fund A (acc) EUR;;4;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705474
Robeco Smart Materials;1.8%;Robeco Capital Growth Funds Robeco Smart Materials D eur;Geen gegevens beschikbaar;5;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705863
Robeco Emerging Markets Equities;1.89%;Robeco Capital Growth Funds Robeco Emerging Markets Equities D EUR;;4;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0187076913
Goldman Sachs Patrimonial Balanced;1.67%;Goldman Sachs Funds V Goldman Sachs Patrimonial Balanced P Dis EUR;;3;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0119196268
Invesco Euro Bond Fund;1.11%;Invesco Funds Invesco Euro Bond Fund A-SD;;3;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705468
Sustainable Energy Fund;2.33%;Blackrock Global Funds Sustainable Energy Fund A2 EUR;;4;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0171289902
Robeco BP US Large Cap Equities;2.06%;Robeco Capital Growth Funds Robeco BP US Large Cap Equities D EUR;;5;https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704633
