Name,Lopende kosten,Rating,Risico,Compartiment,url
Invesco Funds Invesco Sustainable Pan European Structured Equity Fund A-Acc,1.81%,3 diamanten op 5,4,Invesco Sustainable Pan European Structured Equity Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79703196
Carmignac Portfolio Climate Transition A,2.26%,1 diamanten op 5,5,Climate Transition,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0164455502
Aphilion Q² Equities A,1.99%,4 diamanten op 5,4,Equities,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0058285850
JPMorgan Funds Europe Strategic Growth Fund A (dist) - EUR,2.09%,3 diamanten op 5,4,Europe Strategic Growth Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0107398538
JPMorgan Funds Asia Pacific Equity Fund A (acc) EUR,2.14%,4 diamanten op 5,4,Asia Pacific Equity Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705474
Robeco Capital Growth Funds Robeco Smart Materials D eur,1.8%,not found,5,Robeco Smart Materials,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705863
Robeco Capital Growth Funds Robeco Emerging Markets Equities D EUR,1.89%,3 diamanten op 5,4,Robeco Emerging Markets Equities,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0187076913
Goldman Sachs Funds V Goldman Sachs Patrimonial Balanced P Dis EUR,1.67%,4 diamanten op 5,3,Goldman Sachs Patrimonial Balanced,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0119196268
Invesco Funds Invesco Euro Bond Fund A-SD,1.11%,3 diamanten op 5,3,Invesco Euro Bond Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705468
Blackrock Global Funds Sustainable Energy Fund A2 EUR,2.33%,5 diamanten op 5,4,Sustainable Energy Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0171289902
Robeco Capital Growth Funds Robeco BP US Large Cap Equities D EUR,2.06%,3 diamanten op 5,5,Robeco BP US Large Cap Equities,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704633
Carmignac Portfolio Grande Europe A EUR,2.37%,5 diamanten op 5,4,Grande Europe,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0099161993
Pictet  Quest Europe Sustainable Equities P EUR,1.34%,4 diamanten op 5,4,Quest Europe Sustainable Equities,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79701679
Blackrock Global Funds Euro-Markets Fund A2 EUR,1.89%,4 diamanten op 5,5,Euro-Markets Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0093502762
Columbia Threadneedle (Lux) I CT (Lux) European High Yield Bond 1E EUR,1.61%,3 diamanten op 5,3,CT (Lux) European High Yield Bond,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705459
Robeco Capital Growth Funds Robeco BP Global Premium Equities D EUR,2.33%,4 diamanten op 5,4,Robeco BP Global Premium Equities,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0203975437
"Nordea 1, Sicav Stable Return Fund AP EUR",2.01%,3 diamanten op 5,3,Stable Return Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704317
Schroder International Selection Fund Global Climate Change Equity A capitalisation EUR,2.03%,3 diamanten op 5,4,Global Climate Change Equity,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704601
Amundi Funds Euro Aggregate Bond A EUR,1.39%,2 diamanten op 5,3,Euro Aggregate Bond,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705450
Fidelity Funds Global Multi Asset Income Fund A-ACC-Euro (hedged),2.3%,2 diamanten op 5,3,Global Multi Asset Income Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705094
Schroder International Selection Fund Emerging Asia A capitalisation EUR,2.61%,4 diamanten op 5,4,Emerging Asia,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704987
Franklin Templeton Investment Funds Franklin U.s. Opportunities Fund A,1.85%,3 diamanten op 5,5,Franklin U.s. Opportunities Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79702397
Triodos Sicav I Triodos Impact Mixed Fund - Neutral R,1.55%,2 diamanten op 5,3,Triodos Impact Mixed Fund - Neutral,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704990
Fidelity Funds World Fund A-Euro,2.23%,4 diamanten op 5,4,World Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0069449576
R-co Valor  C EUR,1.77%,5 diamanten op 5,4,,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704047
DNCA Invest Eurose A,1.51%,3 diamanten op 5,3,Eurose,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79703157
Goldman Sachs Funds III Goldman Sachs Euro Sustainable Credit (Ex-Financials) P Dis EUR,0.96%,2 diamanten op 5,2,Goldman Sachs Euro Sustainable Credit (Ex-Financials),https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705451
Pictet Global Megatrend Selection P EUR,2.11%,2 diamanten op 5,4,Global Megatrend Selection,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79702815
Vector Navigator C1,1.87%,3 diamanten op 5,4,Navigator,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79701001
Invesco funds Invesco Pan European High Income A (EUR)-AD,1.71%,3 diamanten op 5,3,Invesco Pan European High Income,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705454
Fidelity Funds Emerging Market Debt Fund A-Acc-EUR,1.77%,1 diamanten op 5,3,Emerging Market Debt Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704072
Franklin Templeton Investment Funds Templeton Global Total Return Fund A,1.48%,3 diamanten op 5,3,Templeton Global Total Return Fund,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79701800
BNP Paribas Funds Sustainable Euro Corporate Bond Classic Cap,1.34%,3 diamanten op 5,2,Sustainable Euro Corporate Bond,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79705455
Allianz Global Investors Fund Allianz Global Sustainability A,1.99%,3 diamanten op 5,4,Allianz Global Sustainability,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704374
Edmond de Rothschild Fund Bond Allocation A,1.83%,4 diamanten op 5,2,Bond Allocation,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704954
DNCA Invest Sri Europe Growth A,2.68%,3 diamanten op 5,4,Sri Europe Growth,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704447
Goldman Sachs Funds III Goldman Sachs Emerging Markets Debt (Hard Currency) P Dis EUR (hedged i),1.7%,3 diamanten op 5,3,Goldman Sachs Emerging Markets Debt (Hard Currency),https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79702855
Vector Flexible C1,2.05%,2 diamanten op 5,3,Flexible,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704110
Pictet Global Environmental Opportunities P EUR,2.12%,3 diamanten op 5,4,Global Environmental Opportunities,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/S79704678
Robeco Capital Growth Funds Robeco Global Consumer Trends D EUR,2.12%,3 diamanten op 5,5,Robeco Global Consumer Trends,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0187079347
DPAM B Equities World Sustainable B,1.9%,4 diamanten op 5,4,Equities World Sustainable,https://www.keytradebank.be/node/frontend/nl/trading/fondsen/S/0058652646
